platform,username,post_date,caption_text,post_type,likes,comments,hashtags,cleaned_caption,cleaned_hashtags
Instagram,shanudrie,07/07/2025,"Back at one of my most favorite go-to spots in Colombo🫶🏻 Checked out the newly brewed @teatimerocks last weekend and I love how it felt enjoying good food, drinks & chitchats with a good friend🧡 Save this post if you want to have or spill the finest tea 🫖🧡",Video,19300,58,#Colombo  #weekends @teatimerocks,back at one of my most favorite goto spots in colombo checked out the newly brewed teatimerocks last weekend and i love how it felt enjoying good food drinks chitchats with a good friend save this post if you want to have or spill the finest tea,colombo weekends teatimerocks
Instagram,shanudrie,07/11/2025,My first time trying crazy fusion food at a food festival and that too with👌🏻🧡📍 EGB Kemakalawa Mawathagama,Image,10900,44,#EGBkemakalawa #NoEGBNoFood #Mawathagama #Kurunagala #FusionFood #EGBMocktails,my first time trying crazy fusion food at a food festival and that too with egb kemakalawa mawathagama,egbkemakalawa noegbnofood mawathagama kurunagala fusionfood egbmocktails
Instagram,shanudrie,07/10/2025,"Here are the answers from my doctor himself, in detail and very clearly, for those of you who have asked a lot of questions about my IV Drip Video 😊💖If you want to know more, if you are interested in getting an IV Drip, call Christell Luxury Wellness today on 0117 499 299.",Video,7749,10,#ivdrip #christell #christellskinclinic #christellluxurywellness #elixir,here are the answers from my doctor himself in detail and very clearly for those of you who have asked a lot of questions about my iv drip video if you want to know more if you are interested in getting an iv drip call christell luxury wellness today on,ivdrip christell christellskinclinic christellluxurywellness elixir
Instagram,shanudrie,07/11/2025,Had a long day? Refresh your self with the scent of luxury✨Proud to be a part of this beautiful story with @lux.sl bodywash 💜,Video,3190,24,#ivdrip #christell #christellskinclinic #christellluxurywellness #elixir,had a long day refresh your self with the scent of luxuryproud to be a part of this beautiful story with luxsl bodywash,ivdrip christell christellskinclinic christellluxurywellness elixir
Instagram,shanudrie,,Sunday vlogging just got better with the @anchor_newdale milkshake😋 and thank you @celestedaily.lk for delivering in minutes 🙏🏻,Video,17700,87,#newmilkshake #readytodrink #ad #shopping #sundays,sunday vlogging just got better with the anchornewdale milkshake and thank you celestedailylk for delivering in minutes,newmilkshake readytodrink ad shopping sundays
Instagram,shanudrie,,"STOP! 🚫 Shanudrie Priyasad is addicted to this! If you watch till the end, we are not responsible if you get addicted to our Hair Revitalised Scalp Treatment ✅ Clears scalp acne ✅ Reduces hair fall ✅ Brings back your natural hair glow Because your hair deserves to be a crown Now trending only at Dermaplan Academy, just like it did for Shanudri Priyasad",Video,5500,33,#ShanudriPriyasad #ScalpTreatment #HairFallSolution #AddictedToGlow #DermaplanAcademy #HairCareSL #CrownYourHair #ScalpCareRoutine #HealthyHairGoals #ViralHairTreatment,stop shanudrie priyasad is addicted to this if you watch till the end we are not responsible if you get addicted to our hair revitalised scalp treatment clears scalp acne reduces hair fall brings back your natural hair glow because your hair deserves to be a crown now trending only at dermaplan academy just like it did for shanudri priyasad,shanudripriyasad scalptreatment hairfallsolution addictedtoglow dermaplanacademy haircaresl crownyourhair scalpcareroutine healthyhairgoals viralhairtreatment
Instagram,shanudrie,,I said yes! To new wheels! ❤️🔥,Video,41388,209,#TataPassenger #TataPV #Dimo #PassengerVehicles,i said yes to new wheels,tatapassenger tatapv dimo passengervehicles
Instagram,shanudrie,,Can you give me a STREET BURGER to get me in shape?🙈 ORDER the yummiest juiciest burgers now via 0112 548 548 OR visit order.streetburger.lk,Video,11500,46,#TataPassenger #TataPV #Dimo #PassengerVehicles,can you give me a street burger to get me in shape order the yummiest juiciest burgers now via or visit orderstreetburgerlk,tatapassenger tatapv dimo passengervehicles
Instagram,shanudrie,,Should we go to the UK and do higher studies??? 🇬🇧Check out the full video for all details and connect with @ahzassociates.srilanka for more!,Video,15100,192,#TataPassenger #TataPV #Dimo #PassengerVehicles,should we go to the uk and do higher studies check out the full video for all details and connect with ahzassociatessrilanka for more,tatapassenger tatapv dimo passengervehicles
Instagram,shanudrie,,"Last time I did an IV drip video, a lot of people said, I heard that I was taking a Whitening Injection. So I said it then, and today I'm telling you this is a Nutritional Cocktail, not a Whitening Injection that will make you pale! On my second IV drip 💧 and let me tell you… this is not just a drip — it’s an investment in how I feel, live, and glow ✨ I’m not doing this to change my skin tone or follow some trend. This is for hydration, glow, and most importantly — to fill the gaps my body misses because of crazy schedules, skipped meals, and forgotten water bottles 🥲 No time for 10 different pills. No patience for half-absorption vitamins. This is 100% nutrients straight into my system — and my body? LOVES it. Drip 2.0 loading ✅ Health first, glow second ✨",Video,7166,48,#elixirivdrip #glowfromwithin #christellluxurywellness #christelllifecolombo #christellskinclinic,last time i did an iv drip video a lot of people said i heard that i was taking a whitening injection so i said it then and today im telling you this is a nutritional cocktail not a whitening injection that will make you pale on my second iv drip and let me tell you this is not just a drip its an investment in how i feel live and glow im not doing this to change my skin tone or follow some trend this is for hydration glow and most importantly to fill the gaps my body misses because of crazy schedules skipped meals and forgotten water bottles no time for different pills no patience for halfabsorption vitamins this is nutrients straight into my system and my body loves it drip loading health first glow second,elixirivdrip glowfromwithin christellluxurywellness christelllifecolombo christellskinclinic
