platform,username,post_date,caption_text,post_type,likes,comments,hashtags
Instagram,shanudrie,07/07/2025,"Back at one of my most favorite go-to spots in Colombo🫶🏻 Checked out the newly brewed @teatimerocks last weekend and I love how it felt enjoying good food, drinks & chitchats with a good friend🧡 Save this post if you want to have or spill the finest tea 🫖🧡",Video,19300,58,#Colombo  #weekends @teatimerocks
Instagram,shanudrie,11/07/2025,My first time trying crazy fusion food at a food festival and that too with👌🏻🧡📍 EGB Kemakalawa Mawathagama,Image,10900,44,#EGBkemakalawa #NoEGBNoFood #Mawathagama #Kurunagala #FusionFood #EGBMocktails
Instagram,shanudrie,10/07/2025,"Here are the answers from my doctor himself, in detail and very clearly, for those of you who have asked a lot of questions about my IV Drip Video 😊💖If you want to know more, if you are interested in getting an IV Drip, call Christell Luxury Wellness today on 0117 499 299.",Video,7749,10,#ivdrip #christell #christellskinclinic #christellluxurywellness #elixir
Instagram,shanudrie,11/07/2025,Had a long day? Refresh your self with the scent of luxury✨Proud to be a part of this beautiful story with @lux.sl bodywash 💜,Video,3190,24,#ivdrip #christell #christellskinclinic #christellluxurywellness #elixir
Instagram,shanudrie,15/06/2025,Sunday vlogging just got better with the @anchor_newdale milkshake😋 and thank you @celestedaily.lk for delivering in minutes 🙏🏻,Video,17700,87,#newmilkshake #readytodrink #ad #shopping #sundays
Instagram,shanudrie,14/06/2025,"STOP! 🚫 Shanudrie Priyasad is addicted to this! If you watch till the end, we are not responsible if you get addicted to our Hair Revitalised Scalp Treatment ✅ Clears scalp acne ✅ Reduces hair fall ✅ Brings back your natural hair glow Because your hair deserves to be a crown Now trending only at Dermaplan Academy, just like it did for Shanudri Priyasad",Video,5500,33,#ShanudriPriyasad #ScalpTreatment #HairFallSolution #AddictedToGlow #DermaplanAcademy #HairCareSL #CrownYourHair #ScalpCareRoutine #HealthyHairGoals #ViralHairTreatment
Instagram,shanudrie,17/06/2025,I said yes! To new wheels! ❤️🔥,Video,41388,209,#TataPassenger #TataPV #Dimo #PassengerVehicles
Instagram,shanudrie,18/06/2025,Can you give me a STREET BURGER to get me in shape?🙈 ORDER the yummiest juiciest burgers now via 0112 548 548 OR visit order.streetburger.lk,Video,11500,46,#TataPassenger #TataPV #Dimo #PassengerVehicles
Instagram,shanudrie,19/06/2025,Should we go to the UK and do higher studies??? 🇬🇧Check out the full video for all details and connect with @ahzassociates.srilanka for more!,Video,15100,192,#TataPassenger #TataPV #Dimo #PassengerVehicles
Instagram,shanudrie,20/06/2025,"Last time I did an IV drip video, a lot of people said, I heard that I was taking a Whitening Injection. So I said it then, and today I'm telling you this is a Nutritional Cocktail, not a Whitening Injection that will make you pale! On my second IV drip 💧 and let me tell you… this is not just a drip — it’s an investment in how I feel, live, and glow ✨ I’m not doing this to change my skin tone or follow some trend. This is for hydration, glow, and most importantly — to fill the gaps my body misses because of crazy schedules, skipped meals, and forgotten water bottles 🥲 No time for 10 different pills. No patience for half-absorption vitamins. This is 100% nutrients straight into my system — and my body? LOVES it. Drip 2.0 loading ✅ Health first, glow second ✨",Video,7166,48,#elixirivdrip #glowfromwithin #christellluxurywellness #christelllifecolombo #christellskinclinic
Instagram,shanudrie,21/06/2025,"Everytime I feel like cutting my hair short cus of damages, @dermaplan_academy comes up with a new treatment and change my mind💆🏻‍♀️ Trying out the latest revitalizing scalp treatment and I cant wait for my next appointment🙌🏼 Contact @dermaplan_academy for more details",Video,14600,25,#Hairtreatments #Dermaplan #scalptreatments #healthyhair
Instagram,shanudrie,22/06/2025,Love the magic that Indian jewelry do to any outfit🪄♥️ Thank you @designerwear.by.maz for creating the beautiful outfit last minute🙌🏼,Video,16200,82,#styling #weddings #indianthemed #Indianjewelry #weddingguestoutfit
Instagram,shanudrie,23/06/2025,Dreaming of my next vacay already! Any guesses where Im off to???☀️👙✈️,Video,25300,174,#Vacation #family #holidays #April #Digana #SriLanka #Travel #trips
